timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
948948826,948948826,18,42,0,0,0,1514,1400,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
948988841,948988841,18,42,0,0,0,1514,1397,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
949049322,949049322,18,42,0,0,0,1514,1400,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
949108914,949108914,18,42,0,0,0,1514,1401,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
949149056,949149056,18,42,0,0,0,1514,1400,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
949209340,949209340,18,42,0,0,0,1514,1397,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
949249357,949249357,18,42,0,0,0,1514,1398,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
949309192,949309192,18,42,0,0,0,1514,1401,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
949369440,949369440,18,42,0,0,0,1514,1400,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
949409422,949409422,18,42,0,0,0,1514,1400,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
949469210,949469210,18,42,0,0,0,1514,1403,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
949509322,949509322,18,42,0,0,0,1514,1401,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
949569691,949569691,18,42,0,0,0,1514,1400,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
949629522,949629522,18,42,0,0,0,1514,1400,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
949669630,949669630,18,42,0,0,0,1514,1401,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
949729914,949729914,18,42,0,0,0,1514,1398,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
949789670,949789670,18,42,0,0,0,1514,1398,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
949829686,949829686,18,42,0,0,0,1514,1398,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
949890071,949890071,18,42,0,0,0,1514,1398,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
949930092,949930092,18,42,0,0,0,1514,1400,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
949989964,949989964,18,42,0,0,0,1514,1401,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
950050284,950050284,18,42,0,0,0,1514,1398,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
950090321,950090321,18,42,0,0,0,1514,1398,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
950149985,950149985,18,42,0,0,0,1514,1400,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
950189982,950189982,18,42,0,0,0,1514,1399,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
950250322,950250322,18,42,0,0,0,1514,1398,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
950310142,950310142,18,42,0,0,0,1514,1403,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
950350143,950350143,18,42,0,0,0,1514,1399,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
950410601,950410601,18,42,0,0,0,1514,1400,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
950470436,950470436,18,42,0,0,0,1514,1399,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
950510417,950510417,18,42,0,0,0,1514,1397,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
950570893,950570893,18,42,0,0,0,1514,1401,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
950630744,950630744,18,42,0,0,0,1514,1397,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
950670650,950670650,18,42,0,0,0,1514,1402,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
950710700,950710700,18,42,0,0,0,1514,1401,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
950770956,950770956,18,42,0,0,0,1514,1403,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
950830714,950830714,18,42,0,0,0,1514,1401,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
950870732,950870732,18,42,0,0,0,1514,1401,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
950931022,950931022,18,42,0,0,0,1514,1403,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
950990720,950990720,18,42,0,0,0,1514,1405,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
951030765,951030765,18,42,0,0,0,1514,1407,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
951091235,951091235,18,42,0,0,0,1514,1403,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
951131219,951131219,18,42,0,0,0,1514,1405,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
951191015,951191015,18,42,0,0,0,1514,1405,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
951251327,951251327,18,42,0,0,0,1514,1406,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
951291317,951291317,18,42,0,0,0,1514,1403,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
951351230,951351230,18,42,0,0,0,1514,1402,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
951411551,951411551,18,42,0,0,0,1514,1402,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
951451538,951451538,18,42,0,0,0,1514,1403,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
951511324,951511324,18,42,0,0,0,1514,1403,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
951551427,951551427,18,42,0,0,0,1514,1403,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
951611843,951611843,18,42,0,0,0,1514,1403,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
951671599,951671599,18,42,0,0,0,1514,1402,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
951711607,951711607,18,42,0,0,0,1514,1401,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
951771824,951771824,18,42,0,0,0,1514,1406,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
951811817,951811817,18,42,0,0,0,1514,1406,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
951871715,951871715,18,42,0,0,0,1514,1413,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
951932025,951932025,18,42,0,0,0,1514,1423,1514,1514,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
