timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
949643669,15800481,30.6571691,-84.20851950000001,250.54419,911.12103,-78.02442,0.0013574644,-0.0026631723,0.0,0.05749423,3.50829,0.047669448,0.033193335,0.01501895,-0.009971928,0.07579388,1.024732,-5.874703,4.0315175,1.517664,64.34459,74.769356,-0.047669448,0.19594008,0.6118938,0.120096035,0.12901427,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
949746872,15800481,30.6571691,-84.20851950000001,250.549,911.48755,-78.019684,0.0013574644,-0.0026631723,0.0,0.060018096,3.4943342,0.029519219,0.01731132,0.01501895,-0.009971928,0.07579388,-1.5981623,-1.0339358,-1.2469625,1.5170095,64.34459,74.76462,-0.029519219,0.19630201,0.6120317,0.1201383,0.12909473,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
949850868,15800481,30.6571691,-84.20851950000001,250.55305,911.855,-78.01647,0.0013574644,-0.0026631723,0.0,0.060066447,3.4767008,0.01828992,0.007769354,0.01501895,-0.009971928,0.07579388,1.825779,0.87885314,-3.2949367,1.5173217,64.34459,74.761406,-0.01828992,0.19669168,0.61217123,0.1203189,0.12917736,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
949946874,15800481,30.6571691,-84.20851950000001,250.55737,912.19244,-78.015625,0.0013574644,-0.0026631723,0.0,0.05272351,3.4657614,0.04775607,0.03703237,0.01501895,-0.009971928,0.07579388,-2.606897,-0.46567544,4.921322,1.5151321,64.34459,74.76056,-0.04775607,0.19626744,0.61165655,0.12017367,0.12907405,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
950050073,15800481,30.6571691,-84.20851950000001,250.56284,912.5545,-78.01772,0.0013574644,-0.0026631723,0.0,0.07040749,3.470446,0.023185605,0.009574083,0.01501895,-0.009971928,0.07579388,0.53743184,0.7937379,-1.5530083,1.511947,64.34459,74.76266,-0.023185605,0.19660681,0.6117886,0.120330915,0.1291497,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
950154068,15800481,30.6571691,-84.20851950000001,250.56912,912.9203,-78.01865,0.0013574644,-0.0026631723,0.0,0.08097126,3.486661,0.056898445,0.040722776,0.01501895,-0.009971928,0.07579388,1.0123407,-1.0310345,2.3517232,1.5076582,64.34459,74.76358,-0.056898445,0.19697669,0.61192286,0.12050165,0.12922771,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
950250080,15800481,30.6571691,-84.20851950000001,250.57658,913.2589,-78.01751,0.0013574644,-0.0026631723,0.0,0.09495376,3.515836,0.05180431,0.033211563,0.01501895,-0.009971928,0.07579388,0.21658635,-3.9814322,-2.4192655,1.5047358,64.34459,74.76244,-0.05180431,0.19647136,0.61254495,0.1202883,0.12919301,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
950354075,15800481,30.6571691,-84.20851950000001,250.58647,913.62836,-78.0184,0.0013574644,-0.0026631723,0.0,0.10598712,3.5366182,0.039649136,0.018048555,0.01501895,-0.009971928,0.07579388,-1.9634982,0.25516745,1.8292826,1.5011468,64.34459,74.763336,-0.039649136,0.1968464,0.6126729,0.1203051,0.1292693,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
950457274,15800481,30.6571691,-84.20851950000001,250.59874,913.99756,-78.01993,0.0013574644,-0.0026631723,0.0,0.14411725,3.5637302,0.005667517,-0.01790233,0.01501895,-0.009971928,0.07579388,0.06155622,-1.6751279,-1.1794026,1.4967443,64.34459,74.76486,-0.005667517,0.19712037,0.6127341,0.120476104,0.12933613,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
950561312,15800481,30.6571691,-84.20851950000001,250.61403,914.3731,-78.021,0.0013574644,-0.0026631723,0.0,0.1551864,3.572912,0.011113543,-0.013421375,0.01501895,-0.009971928,0.07579388,-4.931545,-2.4353912,-3.146033,1.4931911,64.34459,74.76594,-0.011113543,0.1975052,0.6128555,0.12067799,0.1294108,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
