timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
1125686958,-0.07710268,-0.35469353,-1.934778,3e-45,0.55253726,-0.16668391,-0.068796776,-0.8137481,0.0,0.0,-0.29028413,1,0,0,0,0,0
1125788080,-0.07107508,-0.29928827,-1.934778,3e-45,0.55639374,-0.14261742,-0.055617042,-0.8166964,0.0,0.0,-0.33564577,1,0,0,0,0,0
1125886938,-0.0488319,-0.26349786,-1.934778,3e-45,0.5597252,-0.12187062,-0.05459474,-0.8178475,0.0,0.0,-0.37233046,1,0,0,0,0,0
1125988896,-0.056592256,-0.25804096,-1.934778,3e-45,0.5595124,-0.12182053,-0.049878176,-0.8183018,0.0,0.0,-0.36975667,1,0,0,0,0,0
1126087134,-0.04361525,-0.21444117,-1.934778,3e-45,0.56213707,-0.100398876,-0.042859506,-0.8198079,0.0,0.0,-0.3756664,1,0,0,0,0,0
1126189299,-0.02624181,-0.19152714,-1.934778,3e-45,0.56376976,-0.0861363,-0.04349946,-0.8202756,0.0,0.0,-0.39344725,1,0,0,0,0,0
1126287249,-0.049685057,-0.23535924,-1.934778,3e-45,0.5609515,-0.11064288,-0.04629094,-0.8191146,0.0,0.0,-0.3785938,1,0,0,0,0,0
1126388117,-0.04959782,-0.24092704,-1.934778,3e-45,0.5607123,-0.1128891,-0.047901474,-0.81887925,0.0,0.0,-0.35246274,1,0,0,0,0,0
1126487517,-0.05552912,-0.279253,-1.934778,3e-45,0.5585311,-0.13015176,-0.05630748,-0.81727165,0.0,0.0,-0.34584546,1,0,0,0,0,0
1126587584,-0.061624546,-0.2797957,-1.934778,3e-45,0.5581036,-0.13207388,-0.053969786,-0.81741303,0.0,0.0,-0.35711837,1,0,0,0,0,0
1126688062,-0.05782348,-0.27865735,-1.934778,3e-45,0.55841196,-0.13055032,-0.055201616,-0.8173649,0.0,0.0,-0.3634304,1,0,0,0,0,0
1126807825,-0.022422979,-0.285888,-1.934778,3e-45,0.56031346,-0.12359024,-0.071695484,-0.81586415,0.0,0.0,-0.38431913,1,0,0,0,0,0
1126907809,-0.07163057,-0.34610498,-1.934778,3e-45,0.5535404,-0.16170716,-0.068602964,-0.81408685,0.0,0.0,-0.39311293,1,0,0,0,0,0
1127007924,-0.03802172,-0.328925,-1.934778,3e-45,0.55713063,-0.14542708,-0.07744603,-0.81391543,0.0,0.0,-0.36699793,1,0,0,0,0,0
1127108234,-0.05682718,-0.39119676,-1.934778,3e-45,0.55185986,-0.17578118,-0.087294936,-0.81051296,0.0,0.0,-0.36780053,1,0,0,0,0,0
1127208081,-0.06082961,-0.29424843,-1.934778,3e-45,0.55739075,-0.13772056,-0.05837713,-0.81666446,0.0,0.0,-0.35438627,1,0,0,0,0,0
1127308398,-0.07908874,-0.25714776,-1.934778,3e-45,0.5581537,-0.12774311,-0.04041776,-0.81884825,0.0,0.0,-0.33947548,1,0,0,0,0,0
1127408372,-0.04088293,-0.29180148,-1.934778,3e-45,0.5588583,-0.13116038,-0.065829284,-0.8161745,0.0,0.0,-0.37997413,1,0,0,0,0,0
1127508323,-0.068373114,-0.24316323,-1.934778,3e-45,0.55952,-0.11905858,-0.040845387,-0.81920326,0.0,0.0,-0.38836622,1,0,0,0,0,0
1127608544,-0.057792965,-0.21636826,-1.934778,3e-45,0.5613297,-0.105167985,-0.037592817,-0.82002157,0.0,0.0,-0.38237423,1,0,0,0,0,0
1127709126,-0.04066034,-0.20746423,-1.934778,3e-45,0.56255126,-0.09671659,-0.042096414,-0.820006,0.0,0.0,-0.3739189,1,0,0,0,0,0
1127808934,-0.04764685,-0.20634118,-1.934778,3e-45,0.56225383,-0.09822217,-0.038913686,-0.8201882,0.0,0.0,-0.36593089,1,0,0,0,0,0
1127909324,-0.050577242,-0.23459725,-1.934778,3e-45,0.56093526,-0.11058229,-0.04570997,-0.81916654,0.0,0.0,-0.35372806,1,0,0,0,0,0
1128030227,-0.045504246,-0.2538864,-1.934778,3e-45,0.5603681,-0.117024146,-0.053240288,-0.81820434,0.0,0.0,-0.31371978,1,0,0,0,0,0
1128129103,-0.08774692,-0.2806677,-1.934778,3e-45,0.5562809,-0.13970552,-0.043536037,-0.8180089,0.0,0.0,-0.31606227,1,0,0,0,0,0
1128229596,-0.057703488,-0.24822442,-1.934778,3e-45,0.55991167,-0.11813403,-0.046647027,-0.8187596,0.0,0.0,-0.35099292,1,0,0,0,0,0
1128329370,-0.05795443,-0.26214972,-1.934778,3e-45,0.55922955,-0.123873815,-0.050482623,-0.8181498,0.0,0.0,-0.3421935,1,0,0,0,0,0
1128429922,-0.07483091,-0.30703238,-1.934778,3e-45,0.5556755,-0.1467991,-0.05627176,-0.8163995,0.0,0.0,-0.311669,1,0,0,0,0,0
1128529563,-0.06831581,-0.28160912,-1.934778,3e-45,0.55756146,-0.13467671,-0.05174743,-0.817502,0.0,0.0,-0.3400188,1,0,0,0,0,0
1128629525,-0.06567407,-0.27211612,-1.934778,3e-45,0.5582374,-0.13008352,-0.050143313,-0.81788445,0.0,0.0,-0.33071333,1,0,0,0,0,0
1128729686,-0.060112644,-0.23771545,-1.934778,3e-45,0.5602592,-0.11452653,-0.042686615,-0.8192503,0.0,0.0,-0.38861632,1,0,0,0,0,0
1128829651,-0.053373434,-0.19075869,-1.934778,3e-45,0.5625786,-0.093461856,-0.032150332,-0.82081467,0.0,0.0,-0.39707544,1,0,0,0,0,0
1128929878,-0.06479242,-0.19882335,-1.934778,3e-45,0.5617064,-0.09996791,-0.02974996,-0.82073575,0.0,0.0,-0.37081647,1,0,0,0,0,0
1129030016,-0.091630116,-0.2433507,-1.934778,3e-45,0.55808777,-0.125633,-0.031369913,-0.81961596,0.0,0.0,-0.3269614,1,0,0,0,0,0
1129130220,-0.050650563,-0.2060319,-1.934778,3e-45,0.5621179,-0.098940104,-0.03759425,-0.82025677,0.0,0.0,-0.39274985,1,0,0,0,0,0
1129230248,-0.043331873,-0.18066488,-1.934778,3e-45,0.563396,-0.086505085,-0.03341181,-0.82096606,0.0,0.0,-0.39073157,1,0,0,0,0,0
1129330270,-0.070981435,-0.16882673,-1.934778,3e-45,0.5626114,-0.089443654,-0.018700354,-0.82165605,0.0,0.0,-0.3675557,1,0,0,0,0,0
1129450410,-0.050875578,-0.21071382,-1.934778,3e-45,0.5619199,-0.1009163,-0.038827814,-0.82009405,0.0,0.0,-0.36326802,1,0,0,0,0,0
1129550507,-0.10241228,-0.2623574,-1.934778,3e-45,0.556326,-0.13635752,-0.032343987,-0.81906164,0.0,0.0,-0.36170942,1,0,0,0,0,0
1129650510,-0.09680336,-0.24463427,-1.934778,3e-45,0.55769134,-0.1275979,-0.029613933,-0.8196475,0.0,0.0,-0.3440044,1,0,0,0,0,0
1129750697,-0.046410482,-0.23461974,-1.934778,3e-45,0.5611635,-0.10942259,-0.047422856,-0.81906855,0.0,0.0,-0.33729225,1,0,0,0,0,0
1129850786,-0.06166079,-0.19111386,-1.934778,3e-45,0.5621725,-0.0959374,-0.028849551,-0.8209298,0.0,0.0,-0.32251096,1,0,0,0,0,0
1129950816,-0.06159202,-0.26163864,-1.934778,3e-45,0.5590287,-0.1246828,-0.048849948,-0.81826323,0.0,0.0,-0.33652818,1,0,0,0,0,0
1130051414,-0.042779002,-0.2567502,-1.934778,3e-45,0.56039864,-0.117427416,-0.055164084,-0.8179982,0.0,0.0,-0.34962064,1,0,0,0,0,0
1130151503,-0.06711724,-0.23606506,-1.934778,3e-45,0.5599326,-0.11581553,-0.039349712,-0.81945956,0.0,0.0,-0.36994618,1,0,0,0,0,0
1130251150,-0.07110001,-0.2454221,-1.934778,3e-45,0.5592463,-0.12074103,-0.04036816,-0.8191676,0.0,0.0,-0.36430073,1,0,0,0,0,0
1130351321,-0.06698987,-0.26474896,-1.934778,3e-45,0.5585319,-0.127456,-0.047521334,-0.8182536,0.0,0.0,-0.37192288,1,0,0,0,0,0
1130451440,-0.067653134,-0.19476172,-1.934778,3e-45,0.5617323,-0.09911196,-0.027424267,-0.8209029,0.0,0.0,-0.3663819,1,0,0,0,0,0
1130571464,-0.06325313,-0.28955692,-1.934778,3e-45,0.55747736,-0.13649198,-0.05606231,-0.8169737,0.0,0.0,-0.37628296,1,0,0,0,0,0
1130671613,-0.061927382,-0.29915065,-1.934778,3e-45,0.5570478,-0.14001523,-0.059313044,-0.81644076,0.0,0.0,-0.39576223,1,0,0,0,0,0
1130771727,-0.052463606,-0.29108903,-1.934778,3e-45,0.5581264,-0.13410482,-0.060901217,-0.81657934,0.0,0.0,-0.37631634,1,0,0,0,0,0
1130871978,-0.07042321,-0.3074044,-1.934778,3e-45,0.5559762,-0.14572482,-0.058175907,-0.81625384,0.0,0.0,-0.38497984,1,0,0,0,0,0
1130971878,-0.047531627,-0.29463705,-1.934778,3e-45,0.5582742,-0.13416928,-0.06391539,-0.8162374,0.0,0.0,-0.37427777,1,0,0,0,0,0
1131071932,-0.06137449,-0.2699603,-1.934778,3e-45,0.5586253,-0.12800662,-0.05129204,-0.81787604,0.0,0.0,-0.3724515,1,0,0,0,0,0
1131172053,-0.07476916,-0.25628793,-1.934778,3e-45,0.5584726,-0.12618765,-0.041942745,-0.8187954,0.0,0.0,-0.36277008,1,0,0,0,0,0
1131272550,-0.06200902,-0.24309637,-1.934778,3e-45,0.55989915,-0.117250316,-0.043433,-0.819072,0.0,0.0,-0.3856405,1,0,0,0,0,0
1131392642,-0.06720329,-0.23973507,-1.934778,3e-45,0.5597537,-0.1173349,-0.0403538,-0.81931674,0.0,0.0,-0.40073043,1,0,0,0,0,0
1131492492,-0.039807014,-0.20981342,-1.934778,3e-45,0.56250393,-0.09743691,-0.043111045,-0.8199005,0.0,0.0,-0.37814263,1,0,0,0,0,0
1131592615,-0.085814364,-0.2630768,-1.934778,3e-45,0.55739915,-0.13202818,-0.03934398,-0.81873494,0.0,0.0,-0.3847047,1,0,0,0,0,0
1131692659,-0.060673747,-0.24379307,-1.934778,3e-45,0.5599447,-0.117160365,-0.044177007,-0.81901395,0.0,0.0,-0.3799148,1,0,0,0,0,0
1131793728,-0.02872296,-0.24688114,-1.934778,3e-45,0.5616195,-0.109460585,-0.05812661,-0.8180607,0.0,0.0,-0.38968042,1,0,0,0,0,0
1131892795,-0.0481996,-0.20156766,-1.934778,3e-45,0.5624116,-0.0964264,-0.03733524,-0.8203665,0.0,0.0,-0.382472,1,0,0,0,0,0
