timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
569401401,569401294,0.003617386,-0.040600806,-0.009048698,0.3581187,0.0,0.0,0.0,-1.0
569453375,569453268,0.009095625,-0.051277246,-0.009687845,0.3604596,0.0,0.0,0.0,-1.0
569509356,569509274,0.009397945,-0.056335457,-0.0040692408,0.3702901,0.0,0.0,0.0,-1.0
569560545,569560467,0.012123657,-0.0713486,-0.003575242,0.36788943,0.0,0.0,0.0,-1.0
569612546,569612469,0.012153677,-0.067026794,-0.001285913,0.37539896,0.0,0.0,0.0,-1.0
569664548,569664474,0.014967107,-0.063733704,-0.00527921,0.37908515,0.0,0.0,0.0,-1.0
569716608,569716482,0.006330261,-0.053894468,-0.0039088395,0.37324527,0.0,0.0,0.0,-1.0
569768560,569768476,0.015562423,-0.037508123,0.0006896034,0.37368527,0.0,0.0,0.0,-1.0
569824585,569824476,0.009733991,-0.027567592,-0.0012147021,0.36630684,0.0,0.0,0.0,-1.0
569875742,569875668,0.005427656,-0.01579366,-0.012420339,0.36619544,0.0,0.0,0.0,-1.0
569927741,569927668,-0.0023041447,0.00027507986,-0.0136473505,0.35503337,0.0,0.0,0.0,-1.0
569979755,569979674,-0.003855601,-0.009095175,-0.010548277,0.35674116,0.0,0.0,0.0,-1.0
570031751,570031674,0.0025514683,-0.041209377,-0.005094602,0.36272696,0.0,0.0,0.0,-1.0
570083749,570083668,0.0077226255,-0.043560483,-0.0031193914,0.37002018,0.0,0.0,0.0,-1.0
570135742,570135668,0.0024396672,-0.037764255,-0.005927209,0.3709582,0.0,0.0,0.0,-1.0
570187769,570187695,-0.0015644415,-0.035382334,-0.006773365,0.36582518,0.0,0.0,0.0,-1.0
570238941,570238868,0.0035728929,-0.06471721,-0.005473466,0.36309817,0.0,0.0,0.0,-1.0
570290948,570290868,0.004553016,-0.074322015,-0.0025816218,0.36705717,0.0,0.0,0.0,-1.0
570342991,570342909,0.0038711238,-0.07434016,-0.00892627,0.37622982,0.0,0.0,0.0,-1.0
570394942,570394868,0.010102499,-0.058930807,-0.005312287,0.37725905,0.0,0.0,0.0,-1.0
570450949,570450868,0.0012203552,-0.024357947,-0.01579936,0.36101156,0.0,0.0,0.0,-1.0
570503018,570502911,-0.0012385388,-0.018672042,-0.012781333,0.3635644,0.0,0.0,0.0,-1.0
570554941,570554868,0.008213196,-0.013757116,-0.012124549,0.35835442,0.0,0.0,0.0,-1.0
570605381,570605307,0.004568444,-0.026018225,-0.011154279,0.36283815,0.0,0.0,0.0,-1.0
570654157,570654077,0.0039878935,-0.057257418,-0.010320801,0.36618558,0.0,0.0,0.0,-1.0
570710147,570710068,0.007740269,-0.050917376,-0.008195913,0.36668792,0.0,0.0,0.0,-1.0
570762209,570762075,0.007216955,-0.059090532,-0.0013425195,0.35919195,0.0,0.0,0.0,-1.0
570814160,570814083,0.008098144,-0.07128498,-0.011153896,0.35580248,0.0,0.0,0.0,-1.0
570866233,570866068,0.006436214,-0.07346752,-0.0074395174,0.35840425,0.0,0.0,0.0,-1.0
570917347,570917269,0.008986514,-0.06532723,-0.015753789,0.35896,0.0,0.0,0.0,-1.0
570969375,570969298,0.00023435564,-0.058416132,-0.018617468,0.35849625,0.0,0.0,0.0,-1.0
571021373,571021272,7.672364e-05,-0.045140814,-0.01893366,0.35388786,0.0,0.0,0.0,-1.0
571073353,571073273,-0.0023768912,-0.041573234,-0.019608846,0.35107708,0.0,0.0,0.0,-1.0
571125349,571125271,0.007554228,-0.06396234,-0.011972408,0.36172593,0.0,0.0,0.0,-1.0
571177399,571177315,0.006303405,-0.060577005,-0.016156493,0.35593674,0.0,0.0,0.0,-1.0
571229442,571229305,-0.002062719,-0.046452116,-0.018907674,0.35776082,0.0,0.0,0.0,-1.0
571280552,571280474,0.011082381,-0.04539043,-0.017291289,0.35450512,0.0,0.0,0.0,-1.0
571332628,571332492,0.007044482,-0.05115776,-0.019976592,0.35924914,0.0,0.0,0.0,-1.0
571384560,571384468,0.00035397222,-0.033595126,-0.019896457,0.35886884,0.0,0.0,0.0,-1.0
571436550,571436468,0.0072153057,-0.028172228,-0.010279312,0.35532302,0.0,0.0,0.0,-1.0
571488553,571488468,0.020568192,-0.05676485,-0.015321662,0.36204675,0.0,0.0,0.0,-1.0
571540555,571540476,0.0068927486,-0.05613724,-0.020246748,0.36741295,0.0,0.0,0.0,-1.0
571592557,571592479,0.0103090145,-0.045024484,-0.015843013,0.360778,0.0,0.0,0.0,-1.0
571647775,571647668,0.0043078996,-0.03931381,-0.016004011,0.35852015,0.0,0.0,0.0,-1.0
571699745,571699668,0.009316601,-0.049009,-0.019496841,0.35704592,0.0,0.0,0.0,-1.0
571751772,571751668,0.0044357334,-0.06756816,-0.01653269,0.35217166,0.0,0.0,0.0,-1.0
571803778,571803668,0.007949359,-0.06041902,-0.022022484,0.35577205,0.0,0.0,0.0,-1.0
571855771,571855668,0.0036726075,-0.047122475,-0.014386645,0.35301533,0.0,0.0,0.0,-1.0
571907786,571907668,0.012526955,-0.059724733,-0.011069949,0.35554802,0.0,0.0,0.0,-1.0
571959755,571959674,0.011555909,-0.07259891,-0.0151427435,0.3598308,0.0,0.0,0.0,-1.0
572010989,572010874,0.004662935,-0.057432085,-0.013647372,0.35635787,0.0,0.0,0.0,-1.0
572062952,572062874,0.0036268642,-0.027750073,-0.023116853,0.35408938,0.0,0.0,0.0,-1.0
572114943,572114868,-0.005651553,-0.06437134,-0.023172619,0.3510343,0.0,0.0,0.0,-1.0
572166942,572166868,-0.0005888919,-0.07517485,-0.024294993,0.3601368,0.0,0.0,0.0,-1.0
572218945,572218868,-0.00039329546,-0.052582774,-0.019907417,0.35304648,0.0,0.0,0.0,-1.0
572274980,572274888,-0.0013840502,-0.038154185,-0.019546762,0.3461475,0.0,0.0,0.0,-1.0
572326157,572326074,0.004550441,-0.05747222,-0.017958222,0.3540618,0.0,0.0,0.0,-1.0
572378226,572378103,0.0102880495,-0.07076561,-0.02267218,0.36562577,0.0,0.0,0.0,-1.0
572430145,572430068,-0.00746508,-0.044954337,-0.023994774,0.35339424,0.0,0.0,0.0,-1.0
572482198,572482079,0.0025466357,-0.04480002,-0.022051549,0.35532877,0.0,0.0,0.0,-1.0
572534152,572534068,0.00049861864,-0.051413454,-0.01546269,0.35330927,0.0,0.0,0.0,-1.0
572586154,572586077,0.0014057498,-0.06371995,-0.014569988,0.35503948,0.0,0.0,0.0,-1.0
572638187,572638101,0.0033927825,-0.061209396,-0.011104325,0.36562288,0.0,0.0,0.0,-1.0
572689364,572689286,0.01343393,-0.053496048,-0.015522971,0.3642825,0.0,0.0,0.0,-1.0
572741384,572741291,0.0060605938,-0.0643632,-0.01886393,0.35567218,0.0,0.0,0.0,-1.0
572793359,572793282,0.007091042,-0.055166315,-0.020117475,0.3595837,0.0,0.0,0.0,-1.0
572845419,572845271,0.007930676,-0.06080819,-0.015961114,0.36088052,0.0,0.0,0.0,-1.0
572897345,572897268,0.00025004038,-0.064303234,-0.019411258,0.3514144,0.0,0.0,0.0,-1.0
572953435,572953276,0.0012959846,-0.050783042,-0.017826997,0.35460564,0.0,0.0,0.0,-1.0
573007781,573007703,0.012725598,-0.058551773,-0.016606469,0.3566451,0.0,0.0,0.0,-1.0
573060604,573060468,0.0020411147,-0.038225718,-0.018966213,0.3551882,0.0,0.0,0.0,-1.0
573112550,573112468,0.011067608,-0.043648224,-0.015298637,0.35798976,0.0,0.0,0.0,-1.0
573164582,573164468,0.008348318,-0.038269043,-0.018018033,0.35616648,0.0,0.0,0.0,-1.0
573216562,573216486,0.0022893841,-0.049968995,-0.02255461,0.36128464,0.0,0.0,0.0,-1.0
573268619,573268468,0.005175198,-0.03971566,-0.023723882,0.36075315,0.0,0.0,0.0,-1.0
573324542,573324468,0.014667714,-0.03707395,-0.014268355,0.35749644,0.0,0.0,0.0,-1.0
573375750,573375677,0.0050966116,-0.06005791,-0.020106774,0.36618078,0.0,0.0,0.0,-1.0
573427742,573427668,0.0069260355,-0.065879315,-0.016921435,0.36690786,0.0,0.0,0.0,-1.0
573479748,573479668,0.011000334,-0.021283412,-0.022965621,0.35484108,0.0,0.0,0.0,-1.0
573531772,573531668,0.0062819286,-0.0400408,-0.017431881,0.36181659,0.0,0.0,0.0,-1.0
573583762,573583669,0.015087557,-0.057253767,-0.015082952,0.35610723,0.0,0.0,0.0,-1.0
573635751,573635674,0.0007686851,-0.067021355,-0.021768373,0.3568616,0.0,0.0,0.0,-1.0
573686982,573686908,-0.00077090296,-0.05433097,-0.02463492,0.3661628,0.0,0.0,0.0,-1.0
573738978,573738868,0.0032109637,-0.02935726,-0.020998215,0.3555172,0.0,0.0,0.0,-1.0
573790942,573790868,-0.0026730108,-0.06501295,-0.019215623,0.35318512,0.0,0.0,0.0,-1.0
573842983,573842906,-0.0014982432,-0.07978677,-0.016151018,0.36108974,0.0,0.0,0.0,-1.0
573895038,573894868,0.012985686,-0.056890592,-0.014723979,0.36361215,0.0,0.0,0.0,-1.0
573946952,573946878,0.007620776,-0.046287384,-0.02208966,0.35066044,0.0,0.0,0.0,-1.0
573998942,573998868,0.015177352,-0.049712013,-0.018915165,0.3619451,0.0,0.0,0.0,-1.0
574050982,574050905,0.015244078,-0.047148407,-0.015902558,0.35706934,0.0,0.0,0.0,-1.0
574102155,574102068,0.0054828436,-0.047590185,-0.017575312,0.3552051,0.0,0.0,0.0,-1.0
574154152,574154074,0.008370642,-0.048693664,-0.014726344,0.3551819,0.0,0.0,0.0,-1.0
574206195,574206068,0.015660344,-0.05812868,-0.014771649,0.35346392,0.0,0.0,0.0,-1.0
574258208,574258088,0.006722492,-0.053294033,-0.020311637,0.35796484,0.0,0.0,0.0,-1.0
574310181,574310068,0.0018518303,-0.05031696,-0.02530005,0.357246,0.0,0.0,0.0,-1.0
574362148,574362068,-0.0027916601,-0.023060983,-0.021862797,0.35513327,0.0,0.0,0.0,-1.0
574414230,574414083,0.009449119,-0.038883228,-0.02384095,0.36085647,0.0,0.0,0.0,-1.0
574465351,574465275,0.0010784103,-0.050651778,-0.019539615,0.36069757,0.0,0.0,0.0,-1.0
574517358,574517273,0.00033835022,-0.03658685,-0.021209702,0.35904783,0.0,0.0,0.0,-1.0
574569349,574569274,0.0049403734,-0.035756163,-0.0268729,0.3584053,0.0,0.0,0.0,-1.0
574621389,574621281,0.0044127204,-0.06533389,-0.015822409,0.35518,0.0,0.0,0.0,-1.0
574673369,574673291,0.0039346684,-0.066209026,-0.018344,0.35297564,0.0,0.0,0.0,-1.0
574725349,574725272,0.009972038,-0.051496115,-0.018060923,0.35398117,0.0,0.0,0.0,-1.0
574777417,574777296,0.014307504,-0.06878388,-0.01645762,0.3496972,0.0,0.0,0.0,-1.0
574829347,574829272,0.00033479847,-0.07729792,-0.016523827,0.35996148,0.0,0.0,0.0,-1.0
574884597,574884482,0.011654298,-0.07679288,-0.017029358,0.36105624,0.0,0.0,0.0,-1.0
574936557,574936474,0.010931284,-0.051785383,-0.013908329,0.3573436,0.0,0.0,0.0,-1.0
574988545,574988467,0.0060101296,-0.03363672,-0.016441306,0.34968984,0.0,0.0,0.0,-1.0
575040553,575040468,0.0018737044,-0.043457832,-0.019692533,0.35208225,0.0,0.0,0.0,-1.0
575092585,575092468,0.006985095,-0.039025083,-0.021936407,0.35307044,0.0,0.0,0.0,-1.0
575147762,575147688,0.015249064,-0.052355364,-0.018248767,0.35800886,0.0,0.0,0.0,-1.0
575199748,575199674,0.002040266,-0.0628811,-0.017081648,0.3538936,0.0,0.0,0.0,-1.0
575251752,575251674,0.005531641,-0.04763997,-0.015779015,0.36003235,0.0,0.0,0.0,-1.0
575303742,575303668,0.0064781215,-0.052452195,-0.02167,0.361007,0.0,0.0,0.0,-1.0
575355778,575355674,0.0015968436,-0.040916543,-0.027559318,0.35492516,0.0,0.0,0.0,-1.0
575407750,575407668,-0.0018319933,-0.03794272,-0.024043877,0.3547049,0.0,0.0,0.0,-1.0
575459749,575459668,0.007538347,-0.046515916,-0.016835868,0.35262528,0.0,0.0,0.0,-1.0
575514950,575514874,0.006081669,-0.057029936,-0.022452578,0.3531214,0.0,0.0,0.0,-1.0
575566971,575566868,0.0003277986,-0.049494628,-0.026500244,0.35669425,0.0,0.0,0.0,-1.0
575618959,575618882,-0.004604671,-0.05949127,-0.02255911,0.35082126,0.0,0.0,0.0,-1.0
575671026,575670868,0.008296348,-0.0667504,-0.020344827,0.35760093,0.0,0.0,0.0,-1.0
575722941,575722867,0.0012469095,-0.06276372,-0.017951956,0.35348877,0.0,0.0,0.0,-1.0
575775027,575774907,0.012379145,-0.083236784,-0.01325415,0.35869548,0.0,0.0,0.0,-1.0
575826975,575826897,0.014822733,-0.07299823,-0.017121326,0.3463218,0.0,0.0,0.0,-1.0
575878178,575878082,0.0040502273,-0.071121745,-0.01921067,0.35071364,0.0,0.0,0.0,-1.0
575930155,575930068,-0.0001940596,-0.070978954,-0.02290511,0.35639724,0.0,0.0,0.0,-1.0
575982188,575982107,0.0021165472,-0.06346655,-0.024075799,0.35686976,0.0,0.0,0.0,-1.0
576034145,576034068,-0.0049512475,-0.059214067,-0.027764987,0.35557362,0.0,0.0,0.0,-1.0
576086144,576086067,-0.0029768178,-0.05020145,-0.018614637,0.35351273,0.0,0.0,0.0,-1.0
576138193,576138068,0.018371684,-0.03233231,-0.017989524,0.35656995,0.0,0.0,0.0,-1.0
