timestamp,x,y,z,r,flaps,aux1,aux2,aux3,aux4,aux5,aux6,mode_switch,return_switch,rattitude_switch,posctl_switch,loiter_switch,acro_switch,offboard_switch,kill_switch,arm_switch,transition_switch,gear_switch,mode_slot,data_source,stab_switch,man_switch,armlock_switch
700420519,4.762113e-13,0.0,0.49325156,0.006939841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
700620724,-1.0225625e-15,0.0,0.49325156,0.1405675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
700820909,1.804952e-20,0.0,0.49325156,0.16214533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
701021125,0.0121202795,0.0,0.49325156,0.5672197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
701241609,9.457948e-05,0.0,0.49325156,0.21424742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
701441733,0.017314652,0.0,0.49325156,0.1181177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
701642129,0.2761845,0.0,0.49325156,0.11264238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
701842250,0.33229136,0.0,0.49325156,0.00026859457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
702042448,0.3906464,0.0,0.49325156,1.0088388e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
702242701,0.39135632,0.0,0.49325156,-1.8915922e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
702442912,0.40415046,0.0,0.49325156,1.3882012e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
702643108,0.42993122,0.0,0.49325156,-8.2621796e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
702843207,0.430232,0.0,0.49325156,-2.1826556e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
703023140,0.35473943,0.0,0.49325156,-0.041617323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
703263474,0.34090465,0.0,0.49325156,-0.016204203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
703443875,0.35461363,0.0,0.49325156,-0.10734087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
703663752,0.2629282,0.0,0.49325156,-0.19878155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
703844123,0.24349427,0.0,0.49325156,0.00023913091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
704064250,0.13386133,0.0,0.49325156,-2.0761216e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
704264407,0.08287338,0.0,0.49325156,7.9932956e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
704464533,0.09147984,0.0,0.49325156,1.813248e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
704664861,0.09625373,0.0,0.49325156,1.2661269e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0
