timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acc_x,acc_y,acc_z,jerk_x,jerk_y,jerk_z,thrust[0],thrust[1],thrust[2]
547648994,nan,nan,nan,0.9547995,-3e-45,0.66900444,0.94507796,-3.8398046,nan,nan,nan,nan,nan,nan,nan,nan,nan
547849216,nan,nan,nan,0.9547995,-3e-45,0.61026216,0.8620949,-3.8483725,nan,nan,nan,nan,nan,nan,nan,nan,nan
548049951,nan,nan,nan,0.9547995,-3e-45,0.5304501,0.7493474,-3.9050622,nan,nan,nan,nan,nan,nan,nan,nan,nan
548249957,nan,nan,nan,0.9547995,-3e-45,0.35110325,0.49599063,-4.0955496,nan,nan,nan,nan,nan,nan,nan,nan,nan
548469988,nan,nan,nan,0.9547995,-3e-45,0.2769909,0.39129484,-4.007459,nan,nan,nan,nan,nan,nan,nan,nan,nan
548670176,nan,nan,nan,0.9547995,-3e-45,0.4949118,0.69914365,-3.8985868,nan,nan,nan,nan,nan,nan,nan,nan,nan
548870268,nan,nan,nan,0.9547995,-3e-45,0.660647,0.93327165,-4.1136546,nan,nan,nan,nan,nan,nan,nan,nan,nan
549070458,nan,nan,nan,0.9547995,-3e-45,1.1114962,1.5701697,-3.8591669,nan,nan,nan,nan,nan,nan,nan,nan,nan
549270745,nan,nan,nan,0.9547995,-3e-45,1.0270232,1.450838,-3.258789,nan,nan,nan,nan,nan,nan,nan,nan,nan
549470814,nan,nan,nan,0.9547995,-3e-45,1.0912875,1.5416216,-3.3145394,nan,nan,nan,nan,nan,nan,nan,nan,nan
549673323,nan,nan,nan,0.9547995,-3e-45,1.0666589,1.5068297,-3.5439868,nan,nan,nan,nan,nan,nan,nan,nan,nan
549872845,nan,nan,nan,0.9547995,-3e-45,1.0828596,1.529716,-3.8937194,nan,nan,nan,nan,nan,nan,nan,nan,nan
550072803,nan,nan,nan,0.9547995,-3e-45,1.0614856,1.4995217,-4.4935937,nan,nan,nan,nan,nan,nan,nan,nan,nan
550271786,nan,nan,nan,0.9547995,-3e-45,1.0453453,1.4767209,-5.090216,nan,nan,nan,nan,nan,nan,nan,nan,nan
550491808,nan,nan,nan,0.9547995,-3e-45,1.0678416,1.5085007,-5.7506094,nan,nan,nan,nan,nan,nan,nan,nan,nan
550692340,nan,nan,nan,0.9547995,-3e-45,1.1274279,1.592676,-6.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
550892179,nan,nan,nan,0.9547995,-3e-45,1.1242561,1.5881952,-6.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
551092608,nan,nan,nan,0.9547995,-3e-45,1.0422814,1.4723927,-6.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
551292660,nan,nan,nan,0.9547995,-3e-45,1.039065,1.4678488,-6.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
551492810,nan,nan,nan,0.9547995,-3e-45,1.0849258,1.5326346,-6.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
551693124,nan,nan,nan,0.9547995,-3e-45,1.8638084,2.6329336,-6.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
551913795,nan,nan,nan,0.9547995,-3e-45,2.762354,3.9022756,-6.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
552114179,nan,nan,nan,0.9547995,-3e-45,3.5485072,5.0128455,-6.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
552314412,nan,nan,nan,0.9547995,-3e-45,4.2325935,5.979229,-6.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
552515604,nan,nan,nan,0.9547995,-3e-45,4.742321,6.6993027,-6.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
552714624,nan,nan,nan,0.9547995,-3e-45,5.4971547,7.7656274,-6.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
552914344,nan,nan,nan,0.9547995,-3e-45,5.132778,7.250887,-6.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
553114837,nan,nan,nan,0.9547995,-3e-45,5.0206475,7.0924845,-6.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
553334970,nan,nan,nan,0.9547995,-3e-45,4.577798,6.466887,-6.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
553535178,nan,nan,nan,0.9547995,-3e-45,4.0202255,5.6792245,-6.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
553735197,nan,nan,nan,0.9547995,-3e-45,4.0889554,5.776317,-6.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
553935251,nan,nan,nan,0.9547995,-3e-45,3.9726617,5.612033,-6.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
554135509,nan,nan,nan,0.9547995,-3e-45,4.122062,5.8230853,-6.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
554336251,nan,nan,nan,0.9547995,-3e-45,3.5983443,5.0832486,-5.758152,nan,nan,nan,nan,nan,nan,nan,nan,nan
554535908,nan,nan,nan,0.9547995,-3e-45,3.3956366,4.7968907,-5.159187,nan,nan,nan,nan,nan,nan,nan,nan,nan
554736763,nan,nan,nan,0.9547995,-3e-45,3.9068139,5.519012,-4.556445,nan,nan,nan,nan,nan,nan,nan,nan,nan
554958733,nan,nan,nan,0.9547995,-3e-45,3.6087017,5.0978804,-3.890868,nan,nan,nan,nan,nan,nan,nan,nan,nan
555157986,nan,nan,nan,0.9547995,-3e-45,3.5101495,4.958659,-3.292773,nan,nan,nan,nan,nan,nan,nan,nan,nan
555357924,nan,nan,nan,0.9547995,-3e-45,3.656671,5.1656446,-2.6929593,nan,nan,nan,nan,nan,nan,nan,nan,nan
555557335,nan,nan,nan,0.9547995,-3e-45,3.7482944,5.295078,-2.0950444,nan,nan,nan,nan,nan,nan,nan,nan,nan
555757352,nan,nan,nan,0.9547995,-3e-45,3.5987628,5.08384,-1.4949034,nan,nan,nan,nan,nan,nan,nan,nan,nan
555957490,nan,nan,nan,0.9547995,-3e-45,3.4994037,4.943479,-0.8942613,nan,nan,nan,nan,nan,nan,nan,nan,nan
556157588,nan,nan,nan,0.9547995,-3e-45,3.4394734,4.8588176,-0.29411426,nan,nan,nan,nan,nan,nan,nan,nan,nan
556377655,nan,nan,-77.7529,0.9547995,-3e-45,3.54306,5.005151,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
556578003,nan,nan,-77.7529,0.9547995,-3e-45,3.6992915,5.225853,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
