timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
523013095,-18.96657,28.43,101552.99,1.2066176
523024122,-18.549084,28.43,101547.99,1.2065581
523049099,-18.712908,28.43,101549.984,1.2065818
523062637,-18.549084,28.43,101547.99,1.2065581
523076548,-18.38526,28.43,101545.99,1.2065344
523101006,-18.38526,28.43,101545.99,1.2065344
523113009,-18.549084,28.43,101547.99,1.2065581
523125071,-18.633636,28.43,101548.99,1.20657
523148262,-19.130394,28.43,101554.99,1.2066413
523160006,-18.633636,28.43,101548.99,1.20657
523173637,-18.464529,28.43,101546.99,1.2065463
523200037,-18.464529,28.43,101546.99,1.2065463
523211759,-18.633636,28.43,101548.99,1.20657
523224056,-18.38526,28.43,101545.99,1.2065344
523247548,-19.04584,28.43,101553.99,1.2066294
523260005,-18.464529,28.43,101546.99,1.2065463
523272045,-18.464529,28.43,101546.99,1.2065463
523296046,-18.549084,28.439999,101548.016,1.2065585
523309185,-18.718191,28.439999,101550.01,1.2065821
523322018,-18.718191,28.439999,101550.01,1.2065821
523347451,-18.718191,28.439999,101550.01,1.2065821
523360011,-18.469814,28.439999,101547.016,1.2065465
523373435,-18.13688,28.439999,101543.01,1.2064989
523400038,-18.633636,28.439999,101549.016,1.2065703
523411738,-18.469814,28.439999,101547.016,1.2065465
523424031,-18.718191,28.439999,101550.01,1.2065821
523448132,-18.549084,28.439999,101548.016,1.2065585
523460021,-18.549084,28.439999,101548.016,1.2065585
523471203,-18.21615,28.439999,101544.01,1.2065108
523496024,-18.549084,28.439999,101548.016,1.2065585
523508866,-18.718191,28.439999,101550.01,1.2065821
523521303,-18.300705,28.439999,101545.016,1.2065228
523547430,-18.38526,28.439999,101546.016,1.2065346
523561547,-18.718191,28.439999,101550.01,1.2065821
523574317,-18.469814,28.439999,101547.016,1.2065465
523602185,-18.633636,28.439999,101549.016,1.2065703
523614339,-18.38526,28.439999,101546.016,1.2065346
523628521,-18.79746,28.439999,101551.016,1.2065941
523653367,-18.718191,28.439999,101550.01,1.2065821
523669207,-18.21615,28.439999,101544.01,1.2065108
523682307,-18.882015,28.439999,101552.016,1.2066059
523708997,-18.300705,28.439999,101545.016,1.2065228
523721949,-18.469814,28.439999,101547.016,1.2065465
523734471,-18.21615,28.439999,101544.01,1.2065108
523761847,-18.38526,28.439999,101546.016,1.2065346
523773324,-18.633636,28.439999,101549.016,1.2065703
523788867,-18.79746,28.439999,101551.016,1.2065941
523814291,-18.549084,28.439999,101548.016,1.2065585
523828594,-18.79746,28.439999,101551.016,1.2065941
523842157,-18.633636,28.439999,101549.016,1.2065703
523868716,-18.38526,28.439999,101546.016,1.2065346
523881930,-18.79746,28.439999,101551.016,1.2065941
523894091,-17.967773,28.439999,101541.016,1.2064753
523920284,-18.633636,28.439999,101549.016,1.2065703
523933381,-18.79746,28.439999,101551.016,1.2065941
523948329,-18.21615,28.439999,101544.01,1.2065108
523977243,-18.300705,28.439999,101545.016,1.2065228
523990116,-18.549084,28.439999,101548.016,1.2065585
524002249,-18.469814,28.439999,101547.016,1.2065465
524027961,-18.38526,28.439999,101546.016,1.2065346
524041354,-18.549084,28.439999,101548.016,1.2065585
524054077,-18.469814,28.439999,101547.016,1.2065465
524081334,-18.38526,28.439999,101546.016,1.2065346
524094092,-18.38526,28.439999,101546.016,1.2065346
524106692,-18.633636,28.439999,101549.016,1.2065703
524132599,-18.718191,28.439999,101550.01,1.2065821
524146722,-18.718191,28.439999,101550.01,1.2065821
524160383,-18.79746,28.439999,101551.016,1.2065941
524186711,-18.469814,28.439999,101547.016,1.2065465
524200347,-18.549084,28.439999,101548.016,1.2065585
524213544,-18.79746,28.439999,101551.016,1.2065941
524240513,-18.469814,28.439999,101547.016,1.2065465
524253004,-18.633636,28.439999,101549.016,1.2065703
524267460,-18.469814,28.439999,101547.016,1.2065465
524295810,-18.38526,28.439999,101546.016,1.2065346
524309059,-18.79746,28.439999,101551.016,1.2065941
524321683,-18.718191,28.439999,101550.01,1.2065821
524345719,-17.967773,28.439999,101541.016,1.2064753
524358460,-18.549084,28.439999,101548.016,1.2065585
524371749,-18.718191,28.439999,101550.01,1.2065821
524398470,-18.79746,28.439999,101551.016,1.2065941
524409918,-18.633636,28.439999,101549.016,1.2065703
524423727,-18.718191,28.439999,101550.01,1.2065821
524449683,-18.802746,28.449999,101551.04,1.2065943
524463947,-18.633636,28.449999,101549.04,1.2065706
524476702,-18.633636,28.449999,101549.04,1.2065706
524502025,-18.549084,28.439999,101548.016,1.2065585
524513319,-18.469814,28.439999,101547.016,1.2065465
524528207,-18.718191,28.439999,101550.01,1.2065821
524553637,-18.802746,28.449999,101551.04,1.2065943
524568760,-18.633636,28.449999,101549.04,1.2065706
524581089,-18.96657,28.449999,101553.04,1.2066181
524608057,-18.469814,28.449999,101547.04,1.2065468
524620048,-18.469814,28.449999,101547.04,1.2065468
524632896,-18.718191,28.449999,101550.03,1.2065823
524656122,-18.469814,28.449999,101547.04,1.2065468
524668798,-18.554367,28.449999,101548.04,1.2065587
524681120,-18.221436,28.449999,101544.03,1.206511
524704793,-18.971855,28.46,101553.06,1.2066184
524717107,-18.718191,28.46,101550.055,1.2065827
524729636,-18.469814,28.46,101547.06,1.2065471
524755826,-18.8873,28.46,101552.06,1.2066065
524770173,-18.802746,28.46,101551.06,1.2065946
524783209,-18.8873,28.46,101552.06,1.2066065
524809614,-18.8873,28.46,101552.06,1.2066065
524823064,-18.554367,28.46,101548.06,1.206559
524835454,-18.13688,28.46,101543.055,1.2064995
524863414,-18.802746,28.46,101551.06,1.2065946
524876026,-18.971855,28.46,101553.06,1.2066184
524890455,-18.638922,28.46,101549.06,1.2065709
524915608,-18.38526,28.449999,101546.04,1.206535
524929621,-18.802746,28.449999,101551.04,1.2065943
524943296,-18.802746,28.449999,101551.04,1.2065943
524971262,-18.802746,28.46,101551.06,1.2065946
524984043,-18.638922,28.46,101549.06,1.2065709
524996229,-18.221436,28.46,101544.055,1.2065114
525021660,-18.802746,28.46,101551.06,1.2065946
525034742,-18.469814,28.46,101547.06,1.2065471
525047618,-18.469814,28.46,101547.06,1.2065471
525071231,-18.718191,28.46,101550.055,1.2065827
525084036,-18.469814,28.46,101547.06,1.2065471
525095099,-18.221436,28.46,101544.055,1.2065114
525120109,-18.475098,28.47,101547.086,1.2065474
525132210,-19.056408,28.47,101554.086,1.2066306
525144264,-18.221436,28.47,101544.08,1.2065116
525168052,-18.971855,28.46,101553.06,1.2066184
525180042,-18.13688,28.46,101543.055,1.2064995
525192030,-18.221436,28.46,101544.055,1.2065114
525215242,-18.475098,28.47,101547.086,1.2065474
525229698,-18.723476,28.47,101550.08,1.2065829
525242910,-18.8873,28.47,101552.086,1.2066067
525270163,-18.808031,28.47,101551.086,1.206595
525282612,-18.8873,28.47,101552.086,1.2066067
525295206,-18.390545,28.47,101546.086,1.2065355
525320026,-18.723476,28.47,101550.08,1.2065829
525332144,-18.723476,28.47,101550.08,1.2065829
525344073,-18.554367,28.47,101548.086,1.2065593
525367231,-18.554367,28.47,101548.086,1.2065593
525380514,-19.140963,28.47,101555.086,1.2066424
525394114,-18.638922,28.47,101549.086,1.2065711
525419067,-18.638922,28.47,101549.086,1.2065711
525431204,-18.638922,28.47,101549.086,1.2065711
525443178,-18.638922,28.47,101549.086,1.2065711
525469527,-18.644207,28.48,101549.11,1.2065715
525482808,-18.559652,28.48,101548.11,1.2065595
525495119,-18.475098,28.48,101547.11,1.2065476
525521492,-18.892584,28.48,101552.11,1.2066071
525534291,-18.390545,28.48,101546.11,1.2065358
525547498,-18.644207,28.48,101549.11,1.2065715
525574200,-18.638922,28.47,101549.086,1.2065711
525587214,-18.475098,28.47,101547.086,1.2065474
525599159,-18.723476,28.47,101550.08,1.2065829
525622291,-18.971855,28.48,101553.11,1.2066189
525634973,-18.892584,28.48,101552.11,1.2066071
525647501,-18.475098,28.48,101547.11,1.2065476
525673932,-18.311274,28.48,101545.11,1.2065239
525685437,-18.723476,28.48,101550.1,1.2065831
525699288,-18.559652,28.48,101548.11,1.2065595
525726470,-19.140963,28.48,101555.11,1.2066427
525739605,-18.723476,28.48,101550.1,1.2065831
525753208,-18.390545,28.48,101546.11,1.2065358
525778160,-18.723476,28.47,101550.08,1.2065829
525790208,-18.30599,28.47,101545.086,1.2065237
525802210,-18.723476,28.47,101550.08,1.2065829
525826153,-18.311274,28.48,101545.11,1.2065239
525838084,-18.22672,28.48,101544.1,1.2065119
525850650,-18.644207,28.48,101549.11,1.2065715
525878172,-19.056408,28.48,101554.11,1.2066308
525890722,-18.723476,28.48,101550.1,1.2065831
525904354,-18.390545,28.48,101546.11,1.2065358
525930657,-18.311274,28.48,101545.11,1.2065239
525944530,-18.644207,28.48,101549.11,1.2065715
525957642,-18.142166,28.48,101543.1,1.2065
525986363,-17.893787,28.48,101540.11,1.2064645
526000074,-18.892584,28.48,101552.11,1.2066071
526012518,-17.729963,28.48,101538.11,1.2064407
526038119,-18.559652,28.48,101548.11,1.2065595
526051745,-18.559652,28.48,101548.11,1.2065595
526064626,-18.475098,28.48,101547.11,1.2065476
526092524,-18.808031,28.48,101551.11,1.2065952
526105075,-18.644207,28.48,101549.11,1.2065715
526117473,-18.311274,28.48,101545.11,1.2065239
526142461,-18.723476,28.48,101550.1,1.2065831
526157338,-18.892584,28.48,101552.11,1.2066071
526170498,-18.057611,28.48,101542.11,1.2064883
526199021,-18.554367,28.47,101548.086,1.2065593
526212778,-18.30599,28.47,101545.086,1.2065237
526225174,-18.475098,28.47,101547.086,1.2065474
526249578,-18.311274,28.48,101545.11,1.2065239
526262008,-18.142166,28.48,101543.1,1.2065
526276293,-18.057611,28.48,101542.11,1.2064883
526302009,-18.142166,28.48,101543.1,1.2065
526316244,-17.809235,28.48,101539.11,1.2064526
526329036,-18.22672,28.48,101544.1,1.2065119
526355615,-17.397032,28.48,101534.11,1.2063931
526369034,-18.311274,28.48,101545.11,1.2065239
526381518,-18.311274,28.48,101545.11,1.2065239
526408922,-17.978342,28.48,101541.11,1.2064763
526421118,-17.560856,28.48,101536.11,1.206417
526433030,-18.808031,28.48,101551.11,1.2065952
526457086,-18.142166,28.48,101543.1,1.2065
526470989,-18.142166,28.48,101543.1,1.2065
526483771,-18.142166,28.48,101543.1,1.2065
526510453,-18.644207,28.48,101549.11,1.2065715
526523933,-18.057611,28.48,101542.11,1.2064883
526535922,-18.475098,28.48,101547.11,1.2065476
526561129,-17.0641,28.49,101530.14,1.206346
526574469,-17.814518,28.49,101539.14,1.206453
526588062,-19.389341,28.49,101558.14,1.2066787
526612887,-18.062897,28.49,101542.14,1.2064886
526625102,-17.481586,28.49,101535.14,1.2064054
526637188,-17.566141,28.49,101536.14,1.2064173
526661124,-19.140963,28.48,101555.11,1.2066427
526673030,-19.225517,28.48,101556.1,1.2066544
526684325,-17.893787,28.48,101540.11,1.2064645
526710718,-18.232004,28.5,101544.16,1.2065126
526723451,-18.395828,28.5,101546.164,1.2065364
526736070,-18.813314,28.5,101551.164,1.2065958
526761603,-19.225517,28.49,101556.13,1.2066549
526774617,-17.814518,28.49,101539.14,1.206453
526790151,-17.893787,28.49,101540.14,1.2064649
526815110,-18.147451,28.49,101543.13,1.2065004
