timestamp,alt_max,landed,freefall,ground_contact,maybe_landed,in_ground_effect
721982317,inf,0,0,0,0,0
723000263,inf,0,0,0,0,0
724016412,inf,0,0,0,0,0
725030298,inf,0,0,0,0,0
726036850,inf,0,0,0,0,0
727038272,inf,0,0,0,0,0
728048311,inf,0,0,0,0,0
729053318,inf,0,0,0,0,0
730071521,inf,0,0,0,0,0
731077615,inf,0,0,0,0,0
732096669,inf,0,0,0,0,0
733115961,inf,0,0,0,0,0
734121317,inf,0,0,0,0,0
735140495,inf,0,0,0,0,0
736141675,inf,0,0,0,0,0
737157567,inf,0,0,0,0,0
738164284,inf,0,0,0,0,0
739169313,inf,0,0,0,0,0
740170262,inf,0,0,0,0,0
741179750,inf,0,0,0,0,0
742190271,inf,0,0,0,0,0
743190492,inf,0,0,0,0,0
744204549,inf,0,0,0,0,0
745213642,inf,0,0,0,0,0
746218284,inf,0,0,0,0,0
747220767,inf,0,0,0,0,0
748223265,inf,0,0,0,0,0
749224361,inf,0,0,0,0,0
750243821,inf,0,0,0,0,0
751261510,inf,0,0,0,0,0
752279337,inf,0,0,0,0,0
753284582,inf,0,0,0,0,0
754291787,inf,0,0,0,0,0
755293404,inf,0,0,0,0,0
756312309,inf,0,0,0,0,0
757329070,inf,0,0,0,0,0
758346268,inf,0,0,0,0,0
759351268,inf,0,0,0,0,0
760359921,inf,0,0,0,0,0
761369946,inf,0,0,0,0,0
762371489,inf,0,0,0,0,0
763377425,inf,0,0,0,0,0
764381373,inf,0,0,0,0,0
765393523,inf,0,0,0,0,0
766403270,inf,0,0,0,0,0
767416265,inf,0,0,0,0,0
768434160,inf,0,0,0,0,0
769448407,inf,0,0,0,0,0
770460266,inf,0,0,0,0,0
771465844,inf,0,0,0,0,0
772470306,inf,0,0,0,0,0
773489207,inf,0,0,0,0,0
774499277,inf,0,0,0,0,0
775508564,inf,0,0,0,0,0
776521919,inf,0,0,0,0,0
777531797,inf,0,0,0,0,0
778537338,inf,0,0,0,0,0
779551142,inf,0,0,0,0,0
780555540,inf,0,0,0,0,0
781557322,inf,0,0,0,0,0
782558265,inf,0,0,0,0,0
783571824,inf,0,0,0,0,0
784590262,inf,0,0,0,0,0
785595291,inf,0,0,0,0,0
786611828,inf,0,0,0,0,0
787619265,inf,0,0,0,0,0
788636520,inf,0,0,0,0,0
789644343,inf,0,0,0,0,0
790660278,inf,0,0,0,0,0
791661339,inf,0,0,0,0,0
792661366,inf,0,0,0,0,0
793663270,inf,0,0,0,0,0
794663550,inf,0,0,0,0,0
795682754,inf,0,0,0,0,0
796690678,inf,0,0,0,0,0
797709359,inf,0,0,0,0,0
798712283,inf,0,0,0,0,0
799713318,inf,0,0,0,0,0
800729438,inf,0,0,0,0,0
801732266,inf,0,0,0,0,0
802746282,inf,0,0,0,0,0
803753863,inf,0,0,0,0,0
804760622,inf,0,0,0,0,0
805777416,inf,0,0,0,0,0
806778766,inf,0,0,0,0,0
807784613,inf,0,0,0,0,0
808787260,inf,0,0,0,0,0
809790279,inf,0,0,0,0,0
810802430,inf,0,0,0,0,0
811822262,inf,0,0,0,0,0
812841341,inf,0,0,0,0,0
813841429,inf,0,0,0,0,0
814848308,inf,0,0,0,0,0
815865323,inf,0,0,0,0,0
816870680,inf,0,0,0,0,0
817880262,inf,0,0,0,0,0
818888556,inf,0,0,0,0,0
819909465,inf,0,0,0,0,0
820928304,inf,0,0,0,0,0
821939277,inf,0,0,0,0,0
822948287,inf,0,0,0,0,0
823948492,inf,0,0,0,0,0
824948667,inf,0,0,0,0,0
825951569,inf,0,0,0,0,0
826966354,inf,0,0,0,0,0
827987134,inf,0,0,0,0,0
828996912,inf,0,0,0,0,0
830017482,inf,0,0,0,0,0
831032269,inf,0,0,0,0,0
832037507,inf,0,0,0,0,0
833043262,inf,0,0,0,0,0
834049672,inf,0,0,0,0,0
835053337,inf,0,0,0,0,0
836058335,inf,0,0,0,0,0
837079945,inf,0,0,0,0,0
838090196,inf,0,0,0,0,0
839107440,inf,0,0,0,0,0
840122352,inf,0,0,0,0,0
841137337,inf,0,0,0,0,0
842156280,inf,0,0,0,0,0
843171825,inf,0,0,0,0,0
844191262,inf,0,0,0,0,0
845201318,inf,0,0,0,0,0
846220598,inf,0,0,0,0,0
847224287,inf,0,0,0,0,0
848234747,inf,0,0,0,0,0
849239310,inf,0,0,0,0,0
850257698,inf,0,0,0,0,0
851270329,inf,0,0,0,0,0
852276278,inf,0,0,0,0,0
853281319,inf,0,0,0,0,0
854292553,inf,0,0,0,0,0
855311262,inf,0,0,0,0,0
856329347,inf,0,0,0,0,0
857341343,inf,0,0,0,0,0
858345696,inf,0,0,0,0,0
859349341,inf,0,0,0,0,0
860350262,inf,0,0,0,0,0
861350923,inf,0,0,0,0,0
862359267,inf,0,0,0,0,0
863377216,inf,0,0,0,0,0
864392872,inf,0,0,0,0,0
865408746,inf,0,0,0,0,0
866412286,inf,0,0,0,0,0
867426244,inf,0,0,0,0,0
868444312,inf,0,0,0,0,0
869464412,inf,0,0,0,0,0
870467481,inf,0,0,0,0,0
871476596,inf,0,0,0,0,0
872496807,inf,0,0,0,0,0
873499308,inf,0,0,0,0,0
874500278,inf,0,0,0,0,0
875502187,inf,0,0,0,0,0
876514595,inf,0,0,0,0,0
877521314,inf,0,0,0,0,0
878537394,inf,0,0,0,0,0
879548322,inf,0,0,0,0,0
880550262,inf,0,0,0,0,0
881551285,inf,0,0,0,0,0
882551293,inf,0,0,0,0,0
883569678,inf,0,0,0,0,0
884584285,inf,0,0,0,0,0
885597339,inf,0,0,0,0,0
886603271,inf,0,0,0,0,0
887621616,inf,0,0,0,0,0
888628712,inf,0,0,0,0,0
889634971,inf,0,0,0,0,0
890636352,inf,0,0,0,0,0
891637336,inf,0,0,0,0,0
892651810,inf,0,0,0,0,0
893653314,inf,0,0,0,0,0
894657581,inf,0,0,0,0,0
895664096,inf,0,0,0,0,0
896674326,inf,0,0,0,0,0
897686314,inf,0,0,0,0,0
898688289,inf,0,0,0,0,0
899688519,inf,0,0,0,0,0
900692313,inf,0,0,0,0,0
901701336,inf,0,0,0,0,0
902711330,inf,0,0,0,0,0
903711804,inf,0,0,0,0,0
904720108,inf,0,0,0,0,0
905723147,inf,0,0,0,0,0
906743470,inf,0,0,0,0,0
907759478,inf,0,0,0,0,0
908771730,inf,0,0,0,0,0
909777322,inf,0,0,0,0,0
910787262,inf,0,0,0,0,0
911787605,inf,0,0,0,0,0
912790172,inf,0,0,0,0,0
913810229,inf,0,0,0,0,0
914813488,inf,0,0,0,0,0
915820629,inf,0,0,0,0,0
916835275,inf,0,0,0,0,0
917841319,inf,0,0,0,0,0
918841375,inf,0,0,0,0,0
919861659,inf,0,0,0,0,0
920880547,inf,0,0,0,0,0
921884287,inf,0,0,0,0,0
922895058,inf,0,0,0,0,0
923914215,inf,0,0,0,0,0
