timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
1214381308,0.13591886,-0.29204515,-0.0071206773,0.9266675,-0.00033109286,0.03043017,0.37464824,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1214409270,-0.18916476,0.07584135,0.08180048,0.92653733,-0.00015811886,0.030258175,0.3749841,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1214441306,-0.009590392,0.033266217,0.12912047,0.92671376,0.0009443954,0.028897002,0.37465408,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1214473309,0.3035443,-0.058575884,0.10274659,0.9269044,0.0020250885,0.028148185,0.3742353,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1214505272,0.23850642,0.21847925,0.14864415,0.9269168,0.0019403228,0.028034609,0.37421343,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1214537271,0.24170393,0.1982527,0.035966743,0.9269048,0.0021769025,0.028571693,0.37420115,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1214569293,0.007019873,0.030579025,-0.08227297,0.9269,0.002622898,0.028883178,0.374186,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1214601274,0.2754347,-0.06275612,-0.020886563,0.9269334,0.0029309806,0.028727764,0.37411323,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1214633279,0.29794317,0.304608,0.19475307,0.9269272,0.003131433,0.029224588,0.37408847,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1214665293,0.36594406,0.15332173,0.27925935,0.926938,0.0034718697,0.029510157,0.37403625,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1214697272,0.30573693,0.08409338,0.06175731,0.9270986,0.0033520362,0.03001358,0.37359905,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1214729316,0.17966323,0.14856797,-0.16663575,0.92723763,0.0029579196,0.03137141,0.37314546,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1214760481,-0.12843454,0.030923303,-0.049453728,0.9272836,0.0021000109,0.03273051,0.37292024,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1214792468,-0.246103,-0.060850285,-0.041369796,0.9273966,0.0021807966,0.034542378,0.3724752,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1214824474,-0.15314548,0.15353517,-0.12672345,0.9273914,0.002930285,0.037285827,0.3722182,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1214856468,0.46394432,0.12215587,0.15547149,0.9273597,0.0038496032,0.039893035,0.37201858,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1214888492,0.1816946,0.043706417,-0.20849158,0.92743075,0.0029720247,0.042285036,0.371585,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1214916467,0.15058048,0.28466222,0.19158164,0.9272252,0.003795275,0.045349754,0.37172922,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1214948470,0.515672,0.2660865,0.03530155,0.92718834,0.0050244634,0.047997106,0.37147406,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1214980468,0.1566672,0.11759714,-0.06974223,0.9272343,0.005695309,0.049588766,0.3711402,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1215012471,-0.25097436,0.12394365,-0.08816363,0.9271335,0.0067685717,0.05136391,0.37113246,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1215044468,-0.18352462,0.35680452,0.2418248,0.9270528,0.00858065,0.05285978,0.37108684,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1215075668,0.3546498,0.025881631,0.00049168523,0.9272625,0.010025704,0.053191822,0.37047872,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1215107692,0.13337247,-0.026779715,-0.07487828,0.9271959,0.010581012,0.05345197,0.3705924,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1215139674,0.08926082,-0.10232254,-0.021920178,0.9270617,0.0115899965,0.05361713,0.37087408,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1215171668,-0.27929133,0.016250985,0.08704143,0.9268837,0.012316621,0.053696316,0.37128395,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1215203668,-0.31909034,0.21114622,0.084187545,0.92686194,0.013061987,0.053625636,0.3713231,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1215235670,0.21014974,0.020394538,0.08672099,0.92681617,0.0133818025,0.052852936,0.37153637,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1215267668,0.11136871,0.024057925,0.14313973,0.9269057,0.0121740615,0.051746313,0.37151024,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1215299668,-0.049977195,-0.18730979,-0.09753217,0.9269936,0.011443081,0.050768185,0.37144923,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1215331675,-0.2679541,0.00947387,0.0053949985,0.92683655,0.011355979,0.050498687,0.37188023,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1215362875,-0.22298485,0.10029327,0.23740333,0.9269514,0.012091824,0.049547262,0.3716989,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1215394907,0.16105907,-0.015653424,0.017731374,0.92718256,0.01213988,0.04799819,0.37132388,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1215426868,0.27899665,0.039440136,0.03362707,0.9272316,0.011820187,0.04659723,0.3713902,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1215458868,0.078425966,0.024961617,0.11589976,0.9273473,0.011552606,0.045011457,0.3713053,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1215486868,-0.19332398,-0.2198831,-0.1178297,0.92744803,0.012268006,0.044231128,0.37112436,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1215518877,0.17736576,0.065136015,0.14113852,0.9274606,0.013238103,0.043745656,0.3711174,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1215550868,0.34656644,-0.14311363,0.030277284,0.9277367,0.0136682475,0.04231427,0.37057692,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1215582868,0.13245557,-0.19533834,-0.120645925,0.92780787,0.01350607,0.040924687,0.370561,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1215614868,-0.1169969,-0.20335656,-0.05587571,0.9277325,0.013679615,0.039732225,0.37087294,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1215646921,-0.14234038,-0.1401182,-0.009958206,0.9278616,0.01445291,0.038873184,0.3706115,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1215678868,-0.37868932,-0.030422712,-0.11224707,0.927989,0.014862432,0.038279124,0.37033814,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1215710868,-0.075445704,0.012302564,0.08301523,0.92796534,0.015652731,0.037946418,0.3703989,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1215742103,0.33148485,-0.02557955,-0.03402678,0.92828405,0.01594195,0.03767747,0.36961487,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1215774087,0.120735705,-0.33946347,-0.2212629,0.9284644,0.015534778,0.037211135,0.36922604,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1215806068,-0.24845745,-0.025800906,-0.039507844,0.9285687,0.014712967,0.03693225,0.3690252,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1215838076,-0.45588014,0.11732096,0.03506159,0.92884815,0.0141316,0.035893913,0.36844712,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1215870077,-0.3575325,0.21757002,-0.022795487,0.9289802,0.014185744,0.0352307,0.36817586,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1215902088,0.07849713,0.24658865,0.18853505,0.92895174,0.014619362,0.034448132,0.36830485,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1215934068,0.23084006,0.29757908,0.26111388,0.9290979,0.015062409,0.03335277,0.36801893,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1215966112,0.31487197,0.0831221,0.09365087,0.9292519,0.015402878,0.032314364,0.3677086,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1215996486,0.23251,-0.012026989,-0.00063609285,0.9293568,0.015188426,0.03152736,0.36752042,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1216029290,0.15969153,0.15114582,0.0809056,0.92939454,0.014794702,0.031213975,0.367468,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1216061289,0.10250364,0.10762459,0.11952066,0.92950124,0.0139243,0.030411674,0.36729926,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1216093282,0.115534134,-0.10830686,0.035058573,0.9296722,0.013401056,0.029199725,0.36698434,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1216125271,0.09006003,-0.16033657,-0.13391007,0.92983556,0.012733637,0.027830856,0.36670062,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1216157306,0.079907924,-0.21611644,-0.12496436,0.9297962,0.012419848,0.02655415,0.36690545,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1216189276,-0.11641232,-0.04309347,-7.9596415e-05,0.92979324,0.012429712,0.02560937,0.36697993,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1216221272,-0.13678546,-0.17205104,-0.15886001,0.9298718,0.012647411,0.02517095,0.36680385,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1216253272,-0.30089948,0.08749504,0.010268178,0.92969364,0.012910722,0.025985854,0.367189,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1216285328,0.19368294,-0.04513468,0.12938768,0.9298297,0.013766124,0.026228672,0.36679596,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1216317268,0.179135,-0.048602168,-0.21979664,0.9299486,0.013159418,0.02629072,0.3665125,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1216348470,-0.19334678,-0.014082762,-0.07087017,0.9298901,0.012386648,0.026667241,0.3666606,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1216380468,-0.25878742,0.055224035,-0.057151087,0.92985004,0.012213206,0.027454138,0.36670986,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1216412480,0.19956519,0.0934196,0.102199435,0.929816,0.012361612,0.028400091,0.3667191,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1216444468,0.12941918,-0.06441389,-0.1664033,0.9297839,0.011855132,0.028948605,0.3667745,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1216476501,-0.07625483,-0.1433906,0.032293983,0.92954797,0.012198491,0.029677466,0.3673022,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1216508472,-0.034595802,-0.26777726,-0.09155301,0.92943895,0.01298693,0.0309184,0.36744887,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1216540474,-0.20865633,-0.02491868,-0.03275618,0.929106,0.013018222,0.03231829,0.36816865,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1216568469,0.28985348,0.28377277,0.22220483,0.92895293,0.013338707,0.033068996,0.36847678,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1216600487,0.32986858,0.23494807,0.12206132,0.9287232,0.013248681,0.033471655,0.36902207,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1216632474,0.18572345,0.20930465,0.03225132,0.92852944,0.012994962,0.03384887,0.36948434,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1216663668,0.17316765,0.093462154,0.074076414,0.9283439,0.012646069,0.033428613,0.3700003,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1216695701,0.10469,0.11549852,0.07912163,0.92823946,0.012337596,0.0328316,0.37032604,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1216727668,0.033228077,-0.1961462,-0.035174288,0.92821497,0.012404986,0.032132994,0.37044644,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1216759668,-0.0805653,-0.2477105,-0.181318,0.9281498,0.012250012,0.031740136,0.37064856,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1216791668,-0.16160734,-0.31599575,-0.17076518,0.9279748,0.012213058,0.031487916,0.37110946,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1216823682,-0.41796422,-0.013902911,-0.05684823,0.9278705,0.011960769,0.031392895,0.37138644,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1216855674,-0.38997805,-0.029700173,0.0088944845,0.92788965,0.011968033,0.030871643,0.37138203,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1216883668,0.06665343,0.0024710766,-0.044236157,0.9278117,0.012546848,0.030951936,0.37155113,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1216919668,-0.28707308,0.033333793,-0.07955861,0.92774516,0.0120209,0.030304294,0.3717879,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1216951670,0.07391544,0.17520376,0.09833512,0.92760587,0.012343392,0.030268783,0.3721276,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1216982868,0.36744487,0.0630403,0.2068608,0.9275873,0.012694476,0.029832773,0.37219727,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1217014868,0.28234357,0.043293692,0.02051808,0.9276185,0.012704101,0.02977905,0.37212324,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1217046868,0.29301265,0.08052004,0.017609037,0.92749774,0.013287085,0.029988019,0.37238723,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1217078874,0.21262574,0.077844456,0.08574741,0.92735255,0.013744417,0.029698983,0.37275514,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1217110868,-0.0371527,0.10364736,0.09818594,0.92728555,0.0138839185,0.029399505,0.3729405,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1217138874,-0.17025837,-0.13470131,-0.09002478,0.92728686,0.014280695,0.02957319,0.37290817,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1217170876,-0.13898861,0.01733506,-0.08518854,0.92713326,0.014392801,0.029838627,0.37326473,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1217202868,-0.22177775,0.14601895,-0.018462338,0.9270435,0.014223882,0.029827056,0.37349483,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1217234891,-0.25510052,0.15853402,0.09246748,0.92693084,0.0141033735,0.029464448,0.3738076,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1217266868,-0.13697821,0.21671285,0.14474727,0.92683643,0.014152129,0.028896494,0.37408412,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1217298868,0.20579329,0.023740238,0.082237415,0.92688346,0.014241391,0.028303048,0.3740098,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1217330068,0.16139036,0.02482119,0.013899837,0.9268697,0.013935964,0.027687773,0.37410128,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
1217362083,0.077461176,0.025118602,-0.027280502,0.9268086,0.014000997,0.027168423,0.37428817,0.9996716,0.0010031447,0.00020028322,-0.025606394,4
