timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
549320512,0.1443788,-0.19370642,0.3687907
549333321,0.14617525,-0.19123052,0.36592567
549346234,0.14828394,-0.1889701,0.36590025
549360097,0.15329896,-0.19261792,0.36617896
549371973,0.14828394,-0.1889701,0.36590025
549384818,0.1618203,-0.18744509,0.36340246
549397277,0.1618203,-0.18744509,0.36340246
549411589,0.16321799,-0.18088485,0.36037263
549425538,0.16532668,-0.17862447,0.36034718
549439457,0.16572548,-0.18270876,0.360512
549451769,0.168944,-0.18883249,0.36365572
549464274,0.16392903,-0.1851847,0.36337698
549476323,0.16854522,-0.18474819,0.3634909
549491719,0.17034167,-0.18227227,0.3606259
549504309,0.16532668,-0.17862447,0.36034718
549517337,0.17105271,-0.18657209,0.36363026
549531730,0.17205156,-0.17592756,0.36043566
549544366,0.17746538,-0.1836597,0.36087918
549557288,0.16994287,-0.17818798,0.36046112
549571755,0.16532668,-0.17862447,0.36034718
549584314,0.16532668,-0.17862447,0.36034718
549597328,0.16250698,-0.176585,0.35736826
549611612,0.17034167,-0.18227227,0.3606259
549623754,0.16783419,-0.18044838,0.36048654
549636264,0.16572548,-0.18270876,0.360512
549651604,0.16863179,-0.18861698,0.36081615
549663852,0.16321799,-0.18088485,0.36037263
549676230,0.16903058,-0.1927013,0.36098096
549691829,0.16392903,-0.1851847,0.36337698
549703469,0.16643652,-0.1870086,0.36351636
549716245,0.16432782,-0.18926899,0.3635418
549729409,0.1560943,-0.17949744,0.36011934
549743833,0.15398559,-0.18175787,0.36014476
549756230,0.16142152,-0.18336079,0.36323765
549769869,0.15931281,-0.18562119,0.36326307
549782519,0.15640652,-0.17971297,0.3629589
549794270,0.16150808,-0.18722956,0.36056286
549806250,0.16432782,-0.18926899,0.3635418
549818236,0.16011043,-0.1937898,0.3635927
549829699,0.1618203,-0.18744509,0.36340246
549843225,0.15389903,-0.17788902,0.36281955
549854901,0.16603771,-0.18292429,0.36335155
549867222,0.16424121,-0.18540022,0.3662166
549879224,0.16392903,-0.1851847,0.36337698
549890277,0.16213253,-0.18766065,0.36624202
549903235,0.15671872,-0.17992853,0.36579847
549914224,0.17105271,-0.18657209,0.36363026
549926732,0.15640652,-0.17971297,0.3629589
549939268,0.15631996,-0.17584418,0.36563367
549951511,0.16173375,-0.18357635,0.3660772
549964229,0.16885743,-0.18496373,0.3663305
549978242,0.16173375,-0.18357635,0.3660772
549990689,0.15922624,-0.1817524,0.36593786
550002278,0.16424121,-0.18540022,0.3662166
550015425,0.16455346,-0.18561576,0.36905614
550028255,0.15170375,-0.17628066,0.36551976
550042228,0.15461004,-0.18218891,0.36582392
550054775,0.15139152,-0.17606515,0.36268017
550067225,0.15492226,-0.18240446,0.3686635
550078614,0.15241478,-0.18058051,0.36852413
550091222,0.1503061,-0.1828409,0.3685496
550103198,0.1503061,-0.1828409,0.3685496
550115224,0.15500885,-0.1862732,0.36598873
550127278,0.14739978,-0.17693269,0.3682454
550140278,0.15742977,-0.18422833,0.36880288
550154177,0.15170375,-0.17628066,0.36551976
550166227,0.15039265,-0.18670972,0.3658748
550178900,0.1460021,-0.18349294,0.37127522
550191620,0.14739978,-0.17693269,0.3682454
550205422,0.15492226,-0.18240446,0.3686635
550218370,0.14779858,-0.18101698,0.36841023
550231222,0.14959505,-0.17854108,0.36554518
550245346,0.14529109,-0.17919308,0.36827084
550257849,0.1456033,-0.17940862,0.3711104
550270230,0.14529109,-0.17919308,0.36827084
550283222,0.1456033,-0.17940862,0.3711104
550296276,0.1503061,-0.1828409,0.3685496
550309241,0.14779858,-0.18101698,0.36841023
550321909,0.14497888,-0.17897756,0.36543128
550334253,0.14529109,-0.17919308,0.36827084
550346222,0.14779858,-0.18101698,0.36841023
550357305,0.1427836,-0.17736919,0.3681315
550371024,0.1410737,-0.18371387,0.36832175
550384228,0.1427836,-0.17736919,0.3681315
550397424,0.14529109,-0.17919308,0.36827084
550410244,0.1410737,-0.18371387,0.36832175
550423227,0.14138593,-0.18392944,0.37116128
550437382,0.1410737,-0.18371387,0.36832175
550449960,0.13426222,-0.18254203,0.37090802
550461355,0.13927722,-0.18618982,0.37118673
550472273,0.1385662,-0.18188997,0.36818236
550488240,0.1410737,-0.18371387,0.36832175
550502313,0.1442922,-0.18983763,0.37146547
550514298,0.1510171,-0.1871408,0.37155396
550526234,0.1410737,-0.18371387,0.36832175
550537431,0.13395001,-0.18232644,0.36806843
550550271,0.1410737,-0.18371387,0.36832175
550564693,0.1385662,-0.18188997,0.36818236
550577405,0.13887842,-0.18210551,0.37102193
550589300,0.1485962,-0.18918562,0.36873984
550602222,0.1364575,-0.18415038,0.3682078
550615253,0.1467997,-0.19166157,0.37160486
550629303,0.13676973,-0.18436591,0.37104738
550641166,0.13748077,-0.18866576,0.37405175
550653303,0.12793612,-0.18932322,0.37098435
550664930,0.13796613,-0.19661884,0.3715418
550677300,0.13255234,-0.18888672,0.37109828
550689335,0.12793612,-0.18932322,0.37098435
550700507,0.1276239,-0.18910766,0.36814475
550714280,0.13608305,-0.19522597,0.3770816
550727274,0.12613966,-0.19179912,0.37384936
550740416,0.13075584,-0.19136265,0.37396327
550754275,0.12753734,-0.1852389,0.37081954
550767232,0.13004482,-0.18706277,0.3709589
550781300,0.13716851,-0.18845022,0.37121218
550793713,0.129646,-0.1829785,0.37079406
550806225,0.13967603,-0.19027416,0.37135154
550820223,0.13215353,-0.18480243,0.37093344
550831274,0.13716851,-0.18845022,0.37121218
550845307,0.13255234,-0.18888672,0.37109828
550857353,0.12463104,-0.17933068,0.37051535
550871287,0.13787955,-0.19275007,0.3742166
550885295,0.13716851,-0.18845022,0.37121218
550899848,0.134661,-0.1866263,0.3710728
550914192,0.129646,-0.1829785,0.37079406
550928266,0.13676973,-0.18436591,0.37104738
550941381,0.13676973,-0.18436591,0.37104738
550953535,0.13497324,-0.18684185,0.3739124
550966240,0.13426222,-0.18254203,0.37090802
550980270,0.13175473,-0.1807181,0.37076864
550993124,0.14209694,-0.18822926,0.37416568
551006226,0.13676973,-0.18436591,0.37104738
551020233,0.13998823,-0.19048966,0.37419114
551033829,0.14389342,-0.18575332,0.37130067
551046223,0.1434946,-0.18166904,0.37113586
551060298,0.1410737,-0.18371387,0.36832175
551073383,0.1434946,-0.18166904,0.37113586
551086238,0.14138593,-0.18392944,0.37116128
551100303,0.13879184,-0.17823675,0.3736967
551112920,0.1384796,-0.17802122,0.37085712
551125298,0.14138593,-0.18392944,0.37116128
551139713,0.14098711,-0.17984514,0.37099648
551153194,0.13628432,-0.17641284,0.37355733
551166231,0.13919063,-0.18232104,0.3738615
551180245,0.13879184,-0.17823675,0.3736967
551192361,0.14169815,-0.18414494,0.37400088
551205279,0.1384796,-0.17802122,0.37085712
551219232,0.13668315,-0.18049712,0.37372214
551233414,0.14380683,-0.18188457,0.37397543
551245345,0.1456033,-0.17940862,0.3711104
551259235,0.1338634,-0.17845769,0.3707432
551272222,0.13958944,-0.18640535,0.3740263
551285227,0.1460021,-0.18349294,0.37127522
551299227,0.14169815,-0.18414494,0.37400088
551312839,0.13919063,-0.18232104,0.3738615
551325303,0.14380683,-0.18188457,0.37397543
551339243,0.13668315,-0.18049712,0.37372214
551352230,0.14138593,-0.18392944,0.37116128
551364238,0.13206695,-0.18093364,0.3736082
551377277,0.13708195,-0.18458143,0.37388694
551393136,0.13135594,-0.17663378,0.37060383
551407600,0.13417566,-0.17867322,0.37358278
551420276,0.13708195,-0.18458143,0.37388694
551431576,0.13699535,-0.18071268,0.37656173
551444263,0.13699535,-0.18071268,0.37656173
551455567,0.1338634,-0.17845769,0.3707432
551468259,0.12776297,-0.18158564,0.3763339
551480222,0.13426222,-0.18254203,0.37090802
551493311,0.13528548,-0.1870574,0.37675196
551507249,0.13748077,-0.18866576,0.37405175
551520231,0.13246574,-0.18501793,0.373773
551532227,0.13246574,-0.18501793,0.373773
551544282,0.13676973,-0.18436591,0.37104738
551556249,0.14178471,-0.18801373,0.37132612
551569222,0.13035707,-0.18727832,0.37379846
551581222,0.13457446,-0.18275756,0.37374756
551594248,0.13035707,-0.18727832,0.37379846
551606518,0.13075584,-0.19136265,0.37396327
551619267,0.13215353,-0.18480243,0.37093344
551631547,0.13748077,-0.18866576,0.37405175
551645608,0.13528548,-0.1870574,0.37675196
551658223,0.13497324,-0.18684185,0.3739124
551674240,0.12995827,-0.18319404,0.37363365
551686437,0.13035707,-0.18727832,0.37379846
551699222,0.13497324,-0.18684185,0.3739124
551711224,0.13748077,-0.18866576,0.37405175
551724305,0.13497324,-0.18684185,0.3739124
551737241,0.13958944,-0.18640535,0.3740263
551748240,0.13919063,-0.18232104,0.3738615
551762230,0.1393638,-0.1900586,0.36851197
551776049,0.1385662,-0.18188997,0.36818236
551789603,0.14067487,-0.17962958,0.3681569
551803225,0.1485962,-0.18918562,0.36873984
551815225,0.15321238,-0.18874915,0.36885375
551827267,0.1410737,-0.18371387,0.36832175
551838461,0.15290013,-0.18853362,0.36601415
551851222,0.15039265,-0.18670972,0.3658748
551864252,0.15290013,-0.18853362,0.36601415
551877227,0.15720414,-0.18788156,0.3632885
551890283,0.15680532,-0.18379727,0.36312371
551903222,0.15680532,-0.18379727,0.36312371
551915229,0.16353022,-0.18110037,0.3632122
551926228,0.16823298,-0.18453267,0.36065134
551938240,0.16823298,-0.18453267,0.36065134
551950233,0.16792078,-0.18431714,0.35781178
551962229,0.16792078,-0.18431714,0.35781178
551974222,0.17284918,-0.1840962,0.36076525
