timestamp,heartbeat_time,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,remote_system_id,remote_component_id,remote_type,remote_system_status,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams
568434408,0,5000.0,1.0,0.0,2.583636,0.0,0,0,0,0,0,1,0,0,1,0,15
568657161,568646293,1200.0,0.34361058,0.93307585,1.2908046,0.0,10,250,6,0,0,0,0,1,1,1,36
568746371,568744926,1200.0,0.34361058,0.93307585,1.2908046,0.0,42,190,6,0,0,0,0,1,1,1,36
569427256,569419447,1200.0,0.34361058,0.8797648,1.3096951,0.0,218,0,6,4,0,0,0,1,1,1,36
569436062,0,5000.0,1.0,0.0,2.5362477,0.0,0,0,0,0,0,1,0,0,1,0,15
569650659,569648338,1200.0,0.34361058,0.8797648,1.3096951,0.0,10,250,6,0,0,0,0,1,1,1,36
569725928,569724416,1200.0,0.34361058,0.8797648,1.3096951,0.0,42,190,6,0,0,0,0,1,1,1,36
570430778,570430468,1200.0,0.34361058,0.90665245,1.5685582,0.0,218,0,6,4,0,0,0,1,1,1,36
570436323,0,5000.0,1.0,0.0,2.4982905,0.0,0,0,0,0,0,1,0,0,1,0,15
570648598,570644283,1200.0,0.34361058,0.90665245,1.5685582,0.0,10,250,6,0,0,0,0,1,1,1,36
570764293,570757335,1200.0,0.34361058,0.90665245,1.5685582,0.0,42,190,6,0,0,0,0,1,1,1,36
571438677,0,5000.0,1.0,0.0,2.582936,0.0,0,0,0,0,0,1,0,0,1,0,15
571458489,571455248,1200.0,0.34361058,0.9010975,1.3835435,0.0,218,0,6,4,0,0,0,1,1,1,36
571655472,571650270,1200.0,0.34361058,0.9010975,1.3835435,0.0,10,250,6,0,0,0,0,1,1,1,36
571761587,571759293,1200.0,0.34361058,0.9010975,1.3835435,0.0,42,190,6,0,0,0,0,1,1,1,36
572440065,0,5000.0,1.0,0.0,2.579249,0.0,0,0,0,0,0,1,0,0,1,0,15
572548409,572545301,1200.0,0.34361058,0.86073774,1.3292406,0.0,218,0,6,4,0,0,0,1,1,1,36
572653468,572649570,1200.0,0.34361058,0.86073774,1.3292406,0.0,10,250,6,0,0,0,0,1,1,1,36
572742803,572742348,1200.0,0.34361058,0.86073774,1.3292406,0.0,42,190,6,0,0,0,0,1,1,1,36
573441478,0,5000.0,1.0,0.0,2.5562181,0.0,0,0,0,0,0,1,0,0,1,0,15
573590416,573585471,1200.0,0.34361058,0.91594595,1.3769187,0.0,218,0,6,4,0,0,0,1,1,1,36
573651556,573651253,1200.0,0.34361058,0.91594595,1.3769187,0.0,10,250,6,0,0,0,0,1,1,1,36
573752386,573750253,1200.0,0.34361058,0.91594595,1.3769187,0.0,42,190,6,0,0,0,0,1,1,1,36
574443540,0,5000.0,1.0,0.0,2.5537379,0.0,0,0,0,0,0,1,0,0,1,0,15
574608776,574608264,1200.0,0.34361058,0.91881907,1.1930786,0.0,218,0,6,4,0,0,0,1,1,1,36
574663046,574659713,1200.0,0.34361058,0.91881907,1.1930786,0.0,10,250,6,0,0,0,0,1,1,1,36
574768338,574764319,1200.0,0.34361058,0.91881907,1.1930786,0.0,42,190,6,0,0,0,0,1,1,1,36
575444603,0,5000.0,1.0,0.0,2.5791845,0.0,0,0,0,0,0,1,0,0,1,0,15
575653521,575650275,1200.0,0.34361058,0.84615976,1.7668054,0.0,10,250,6,0,0,0,0,1,1,1,36
575708882,575707839,1200.0,0.34361058,0.84615976,1.7668054,0.0,218,0,6,4,0,0,0,1,1,1,36
575758415,575750638,1200.0,0.34361058,0.84615976,1.7668054,0.0,42,190,6,0,0,0,0,1,1,1,36
